year,race,arrest_count,total_arrests_year,arrest_rate
2015,HISPANIC OR LATINO,3735,9209,0.4055814963622543
2015,ASIAN,99,9209,0.010750352915626017
2015,AMERICAN INDIAN/ALASKAN NATIVE,5,9209,0.000542947116950809
2015,HAWAIIAN/PACIFIC ISLANDER,2,9209,0.0002171788467803236
2015,MIDDLE EASTERN,28,9209,0.0030405038549245304
2015,WHITE,3147,9209,0.34173091540883915
2015,BLACK,2164,9209,0.23498751221631012
2015,UNKNOWN,29,9209,0.003149093278314692
2016,AMERICAN INDIAN/ALASKAN NATIVE,5,9184,0.0005444250871080139
2016,BLACK,2152,9184,0.2343205574912892
2016,ASIAN,93,9184,0.01012630662020906
2016,MIDDLE EASTERN,35,9184,0.0038109756097560975
2016,HISPANIC OR LATINO,3435,9184,0.37402003484320556
2016,UNKNOWN,42,9184,0.004573170731707317
2016,HAWAIIAN/PACIFIC ISLANDER,5,9184,0.0005444250871080139
2016,WHITE,3417,9184,0.37206010452961674
2018,not_listed,1,11214,8.917424647761727e-05
2018,HAWAIIAN/PACIFIC ISLANDER,9,11214,0.0008025682182985554
2018,BLACK,2804,11214,0.2500445871232388
2018,AMERICAN INDIAN/ALASKAN NATIVE,5,11214,0.00044587123238808634
2018,MIDDLE EASTERN,44,11214,0.0039236668450151595
2018,ASIAN,106,11214,0.00945247012662743
2018,UNKNOWN,27,11214,0.002407704654895666
2018,WHITE,3406,11214,0.3037274835027644
2018,HISPANIC OR LATINO,4812,11214,0.4291064740502943
2019,not_listed,2,7747,0.000258164450755131
2019,UNKNOWN,14,7747,0.001807151155285917
2019,ASIAN,87,7747,0.011230153607848199
2019,AMERICAN INDIAN/ALASKAN NATIVE,4,7747,0.000516328901510262
2019,BLACK,1927,7747,0.24874144830256872
2019,WHITE,2328,7747,0.3005034206789725
2019,HISPANIC OR LATINO,3364,7747,0.4342326061701304
2019,MIDDLE EASTERN,18,7747,0.002323480056796179
2019,HAWAIIAN/PACIFIC ISLANDER,3,7747,0.00038724667613269654
2020,BLACK,858,4069,0.2108626198083067
2020,HAWAIIAN/PACIFIC ISLANDER,3,4069,0.0007372818874416319
2020,MIDDLE EASTERN,13,4069,0.003194888178913738
2020,ASIAN,42,4069,0.010321946424182845
2020,WHITE,1286,4069,0.31604816908331285
2020,HISPANIC OR LATINO,1866,4069,0.458589333988695
2020,AMERICAN INDIAN/ALASKAN NATIVE,1,4069,0.0002457606291472106
